self.epoch: 0, lr: [0.0001, 0.001, 0.0002, 0.0001, 0.0001]
epoch  4/ 8 | batch    76/  404 | examples/s: 2.6 | loss: 0.1660 | loss_pe/0: 0.1660 | self_loss: 0.1660 | min_d: 0.0130 | max_d: 0.2290 | time elapsed: 01h17m40s | time left: 01h57m14s
epoch  4/ 8 | batch   101/  404 | examples/s: 2.5 | loss: 0.1188 | loss_pe/0: 0.1188 | self_loss: 0.1188 | min_d: 0.0128 | max_d: 0.2638 | time elapsed: 01h18m42s | time left: 01h55m02s
epoch  4/ 8 | batch   126/  404 | examples/s: 2.5 | loss: 0.0829 | loss_pe/0: 0.0829 | self_loss: 0.0829 | min_d: 0.0101 | max_d: 0.2378 | time elapsed: 01h19m46s | time left: 01h52m54s
epoch  4/ 8 | batch   151/  404 | examples/s: 1.7 | loss: 0.1066 | loss_pe/0: 0.1066 | self_loss: 0.1066 | min_d: 0.0191 | max_d: 0.2263 | time elapsed: 01h20m47s | time left: 01h50m46s
epoch  4/ 8 | batch   176/  404 | examples/s: 2.5 | loss: 0.0808 | loss_pe/0: 0.0808 | self_loss: 0.0808 | min_d: 0.0107 | max_d: 0.2344 | time elapsed: 01h21m47s | time left: 01h48m40s
epoch  4/ 8 | batch   188/  404 | examples/s: 2.5 | loss: 0.1188 | loss_pe/0: 0.1188 | self_loss: 0.1188 | min_d: 0.0135 | max_d: 0.2342 | time elapsed: 01h22m20s | time left: 01h47m44s
epoch  4/ 8 | batch   201/  404 | examples/s: 2.4 | loss: 0.0650 | loss_pe/0: 0.0650 | self_loss: 0.0650 | min_d: 0.0091 | max_d: 0.2315 | time elapsed: 01h22m51s | time left: 01h46m40s
epoch  4/ 8 | batch   226/  404 | examples/s: 2.5 | loss: 0.0139 | loss_pe/0: 0.0139 | self_loss: 0.0139 | min_d: 0.0116 | max_d: 0.2344 | time elapsed: 01h23m53s | time left: 01h44m39s
epoch  4/ 8 | batch   251/  404 | examples/s: 2.4 | loss: 0.1147 | loss_pe/0: 0.1147 | self_loss: 0.1147 | min_d: 0.0123 | max_d: 0.2390 | time elapsed: 01h24m54s | time left: 01h42m40s
epoch  4/ 8 | batch   276/  404 | examples/s: 2.3 | loss: 0.1171 | loss_pe/0: 0.1171 | self_loss: 0.1171 | min_d: 0.0133 | max_d: 0.2205 | time elapsed: 01h25m58s | time left: 01h40m46s
